algorithm,data_distribution,n,repetitions_requested,repetitions_completed,complexity,status,time_limit_seconds,total_time_seconds,average_time_seconds
Selection Sort,reversed,20,100000,100000,quadratic,ok,60.00,0.118000000,1.180000000000e-06
Bubble Sort,reversed,20,100000,100000,quadratic,ok,60.00,0.144000000,1.440000000000e-06
Merge Sort,reversed,20,100000,100000,general,ok,120.00,0.228000000,2.280000000000e-06
Quick Sort,reversed,20,100000,100000,quick,ok,10.00,0.992000000,9.920000000000e-06
Shell Sort,reversed,20,100000,100000,general,ok,120.00,0.222000000,2.220000000000e-06
Count Sort,reversed,20,100000,100000,general,ok,120.00,0.030000000,3.000000000000e-07
Cocktail Shaker Sort,reversed,20,100000,100000,quadratic,ok,60.00,0.110000000,1.100000000000e-06
Gnome Sort,reversed,20,100000,100000,quadratic,ok,60.00,1.874000000,1.874000000000e-05
Insertion Sort,reversed,50,50000,50000,quadratic,ok,60.00,0.217000000,4.340000000000e-06
Selection Sort,reversed,50,50000,50000,quadratic,ok,60.00,0.201000000,4.020000000000e-06
Bubble Sort,reversed,50,50000,50000,quadratic,ok,60.00,0.301000000,6.020000000000e-06
Merge Sort,reversed,50,50000,50000,general,ok,120.00,0.300000000,6.000000000000e-06
Quick Sort,reversed,50,50000,50000,quick,ok,10.00,2.946000000,5.892000000000e-05
Shell Sort,reversed,50,50000,50000,general,ok,120.00,0.391000000,7.820000000000e-06
Count Sort,reversed,50,50000,50000,general,ok,120.00,0.025000000,5.000000000000e-07
Cocktail Shaker Sort,reversed,50,50000,50000,quadratic,ok,60.00,0.241000000,4.820000000000e-06
Gnome Sort,reversed,50,50000,50000,quadratic,ok,60.00,5.753000000,1.150600000000e-04
Insertion Sort,reversed,100,20000,20000,quadratic,ok,60.00,0.259000000,1.295000000000e-05
Selection Sort,reversed,100,20000,20000,quadratic,ok,60.00,0.238000000,1.190000000000e-05
Bubble Sort,reversed,100,20000,20000,quadratic,ok,60.00,0.390000000,1.950000000000e-05
Merge Sort,reversed,100,20000,20000,general,ok,120.00,0.252000000,1.260000000000e-05
Quick Sort,reversed,100,20000,20000,quick,ok,10.00,4.599000000,2.299500000000e-04
Shell Sort,reversed,100,20000,20000,general,ok,120.00,0.385000000,1.925000000000e-05
Count Sort,reversed,100,20000,20000,general,ok,120.00,0.013000000,6.500000000000e-07
Cocktail Shaker Sort,reversed,100,20000,20000,quadratic,ok,60.00,0.350000000,1.750000000000e-05
Gnome Sort,reversed,100,20000,20000,quadratic,ok,60.00,9.134000000,4.567000000000e-04
Insertion Sort,reversed,1000,2000,2000,quadratic,ok,60.00,1.735000000,8.675000000000e-04
Selection Sort,reversed,1000,2000,2000,quadratic,ok,60.00,1.505000000,7.525000000000e-04
